sentiment,text,label
neutral,Camera good,1
negative, OMG! I KNOW!  I give myself a stroke everytime I go getting mad at them. (Quietly with the windows rolled up.    ),0
neutral,Good,1
positive,"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .",2
positive,All is good,2
negative,Very bad,0
positive,"I love samsung since da launch of it with android feature.since dan, i never look for other brands as my more trust is on Samsung brands due to its technical competency dan other brands. Samsung m20 is among those mobiles. Love to handle this phone since two months. Only issue, which m facing is to take rapid screen shots from touch instead of buttons. Orelse , its mindblowing cellphone.All in my friend circle appreciate this phone.",2
negative,"Overall product is good, but if u have network issues in ur area then don't go for this. Reception is disgusting.",0
neutral,Better,1
positive,"Excellent battery life plus fast charging. Normally charge it once every 2-3 days.
Camera is good too.",2
positive,Good mobile,2
positive,Nice phone but buy 64gb variant,2
positive,Good mobile,2
neutral,Osm,1
negative,Moisture detection problems,0
positive,"Overall a good phone...

Though the processor could have been better, but considering rest of the features offered I would say it's fine...

It's definitely not a gaming centric phone, you can play games, but it might stutter at max settings like in PUBG.

You get good cameras (macro is mostly useless to me),
a great battery (lasts me a whole day on medium-heavy use) and
a good display...
I would say it is mostly focused towards those who watch a lot of videos...",2
neutral,Hi,1
negative,Good,0
positive,"I received samsung's m30 gradation blue on 25th Apr,  same as it is mentioned in description.  It's color and looks very attracted me.  Specially cameras &  fingerprint reader working excellent.  sAmoled FHD + display is very nice.  5000mAh battery along with 3 x fast charger is great.",2
positive,"Finger print sensor is too gud, screen quality is awesome, battery backup is best, face lock is very fast than other phones & hardly took 1 second to unlock. The only drawback is camera quality, its too bad even worst than Chinese phones.",2
negative,Redmi stop foolling people two camera or three camera.. Only one camera working other only show peace in phone.....,0
positive,Quality buy,2
positive,Bought For Dad On His Birthday,2
negative,"After using 1 month , this phone has hang problem. It hangs at anytime. I've only installed WhatsApp ,insta,fb and messenger in it. Still this phone is hanging so much. Sometimes switch off automatically. It's the worst phone I've ever bought online.",0
neutral, GILF = grandmother.,1
neutral,Charging is very fastly draining,1
positive,"Both Camera very nice
Display awesome
White back awesome
Pretty handy
Loved it",2
neutral,Amezing,1
positive, Star Trek is really good. I loved it too,2
negative,RT @pattonoswalt: Hey @MedievalTimes! Donald Trump just gave you a shout out! #GOPDebate,0
positive,"Sushi is not just a meal, it's an experience...Everything from the way fish looks to the crisp green of the seaweed is art.  The smell of the sake and the sound of crisp sizzle on the grill create an environment conducive to stretching the palette.  Yasu's does this like no other sushi place...The fish is pristine, the rice like air, and the flavors intense and varied.  My wife and I live a stone's throw from this place you would never see it if you didn't know it was there.  It's like a little secret that is starting to get out...All I can say is that it is hands down the BEST sushi in Phoenix, period.  Get the fried oyster rolls, get the grilled mackerel or trout...just try it!",2
positive,Ok,2
positive,Mobile camera so bad Quality front camera 13 mp and back camera 48 mp but picture are not 48mp photo.  Clearty not good.,2
negative,"Worst product of Samsung i have ever got , within one month of purchase product got crashed while updating.  Since this has happened during lockdown i can't get it repaired and have to wait until service centers are opened.
I don't recommend to buy this product at all.",0
positive,"Redmi note 8 pro meets expectations. Camera and processor good. Battery nominal, can be improved better. The main drawback I found is low speaker sound. It's not up to the mark. Redmi has to look into this in next updation.",2
positive,Good product,2
positive,"Osm mobile phone under this price range

Very good camera quality and also beetery backup is too good",2
positive,Good product,2
positive,"This phone is best phone in low budget.. with good battery life .and best camera pictures...., finger lock work nice.",2
negative,It's automatically going off I wanted to return this product,0
negative,"We are very disappointed with this piece. In 3 to 4 days battery problem is arise. Also there is software issue in mobile.

Henceforth we are not going to buy samsung product.",0
positive,"I have received the package with all the security and pin number and parcel code as though it was delivered by the IB. Then realized that people have been sent soap and marbles in such packaging in the past that Amazon had to secure it from the middlemen who sneak it through.
The 7T is a powerhouse and yet it saves a lot of power to push you through the day. All in all, the phone is excellent with a lot of tinkering options available for you to play with this handful of tech marble(not marvel). But the irony is not lost on the fact that I have clicked the attached pics with one of the better camera phones (Honor 8 pro) for the review. Will update with the pics clicked by 7T soon. Thanks to Amazon for the timely delivery and Thanks OP for maintaining the quality and challenging the status quo.
Never Settle OP.",2
positive,"Overall device is nice but camera is wrost. And fingerprint censor is not working very fast, design is very nice but its body not scratch proof. Battery life is excellent. Thank you",2
neutral,I am not satisfied by M20 because  its slow processor and hanging problem,1
positive,One of Uponor 's promising future products is a hydronic cooling system .,2
neutral,"Gaming is worst in this mobile.
Too much heating.",1
negative,"The phone itself is good, camera is great, performance is good etc.

But in my phone, internet and network in 1st SIM doesnt work after receiving calls on Sim 2. Sim 1 starts working again after restarting.

I got the 1st phone exchanged from amazon, but the sealed replacement device I got also has the same problem.",0
positive,Nice phone,2
positive,"freaking huge portions. the sandwiches are super yummy. the french toast, covered in bananas, and that crumbly sugary delicouisness is to die for...and you might unless you jog 10 miles afterwards. but the real treat is the desert counter...oh my god, even to just look at it is an honor. good bang for the buck.",2
positive,"Roka Akor Scottsdale is an extension of the celebrated Roka in London.
I attended the opening night and a follow up for lunch the following day. Overall, I was impressed with the offerings of fresh sushi, and robata grilled tidbits. The dish that really won me over was crab hot pot and the creamy rice was absolutely zoftik.
I drank many fresh sochu  infused cocktails, and crushed three bottles of sake with skilled Kikisake-shi, Sayaka Watanabe. This Japanese sake sommelier is London-based and the zuma-roka group sake trainer. They do have a fantastic sake selection. Easily the best in Scottsdale. She loved my sake brand I created with Midorikawa called Green River, and my low alcohol brand sake, Koide, as well.
They also have a great Italian Sommelier named Alessandro Marchesan, who is also based out of London. Too bad they are only loaner personnel from HQ in London.
The room is clean and beautiful with post modern Asian inspired lines. The staff is eager and young, but quite unskilled in refined service.  I am sure that will be a long cycle for the Roka management to fix. I have a dear friend who dined there on her birthday. She told me the service was ""shockingly bad."" She then reiterated that is was,  ""so bad that it was entertainingly bad!"" The food great and hopefully the service will match soon. Kanpai, Roka..kudos on your sake program.",2
negative,"is really, really bored... I guess I will go to bed",0
positive,"The subscriptions increase Cargotec 's share capital by 36,780 euros .",2
negative,Na,0
positive,It's simply awesome packed in a cool smoothish red box.,2
positive,Battery life,2
neutral,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 23.4.2007 Ahlstrom Corporation will publish its first quarter financial results 2007 on Friday , April 27 , 2007 approximately at 8.30 a.m. Finnish time .",1
negative,Hm... TweetDeck has lost all old replies.,0
positive,Just amazing  ...cant define in words,2
positive,Good phone,2
positive,"Good battery use. 2days life for Normal use with LTE.
Camera not bad.
Overall good phone but not for gamers.
Value for money.",2
neutral,Camara not good but battery life is good and screen design better phone speaker volume is low on speaker totally result is phone battery life good,1
positive,Good,2
neutral,Perfect way to end a totally boring day? Sleep. Goodnight,1
neutral,Salfi camera bed quality,1
positive,Best phone for the price @ samsung,2
negative,By smearing opponents of #WhiteGenocide as “Nazis” Libzis perverted the #MemoryOfTheHolocaust into a weapon to GUARANTEE genocide.#GOPDebate,0
negative,"Not nice,very slow",0
positive,Nice,2
positive,"Absolutely amazing device, very fast, crystal clear photos, very good photos in low light conditions. Build quality is superb with amazing look and finishing. Screen is very good.",2
negative,"I am using Samsung Galaxy M31 and i have problem as below;

On 10 Apr 2020 I have received software update notice and when i try it download all and while installing update it appear SUPER : Built Id does not match with the reference.

 Message appearing: Volume Down Key + Power Key for more than 7 secs :Cancel (restart phone)

 After pressing these two keys, it start installing update and same problem appear in my phone.

Hard reset of phone also not possible.

How to do? Since lockdown is going on i cannot use my phone and suffering problem related to my work.",0
negative,Endlessly fascinated by the dual engine monitor in this cab. Then it reminds me of #sustainability fail . Sorry next gen.,0
positive,Finger print reader is slightly slow,2
negative,Don't buy this phone.. When you play pubg frame drop is so much and also heating issue is too much...,0
negative,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…",0
positive,Very good phone in this price range.,2
negative,"FrankLuntz LOL sham focus group, a bunch of Bush/RNC plants! #Trump2016 won #GOPDebate hands down! http://t.co/zQphlSqDUn",0
negative,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…",0
negative, sorry to hear that,0
positive,Daron podat,2
neutral,Camera quality is very poor ☹☹☹,1
positive,"Oh my God

Mera mobile ka toh charge Khatam hi nahi hota ha
Thank u Samsung for this awesome  product
It help me for long time use for official  work",2
positive,"I am a huge ""foodie"", from a long line of ""foodies"". I grew up living in hotels and on room service and fine dining. This is the best, very best, breakfast restaurant EVER! I have been living in Tempe for about six years now, the first two sad sad years I did not know that this wonderful place existed...after my first visit, this is my go-to, best place to recommend, favorite breakfast place to eat at! If you go on a Sunday, it will be very very busy. Everyone is super friendly. The place is very clean. Prices are amazing! Cheaper or as cheap as the nasty breakfast places or fast food. Huge portions and great quality food. I have never had a bad experience here, and to be honest...even if I did, I wouldn't care. I feel like home here. Everything on the menu is delicious! I've tried almost everything. Here are a few of my favorites (don't forget though, I love it all) :
O'Pear Grenache Omelette, Greek Fetash Omelette, English Harvest Omelette, Huevos Con Chorizo (with scrambled eggs), and the Blueberry Hill Girdle Cakes (pancakes! you can order half an order or little ones...we always get an order to share at the table). Their potatoes are delicious and crispy, the english muffins are great and their homemade jam is absolutely amazing! I have bought many jars of their jam to give as gifts! Just delicious! I wish everyone knew about this well kept secret. DON'T LISTEN TO ANY REVIEW UNDER A 5 STAR! This place is the best, bottom line. Try it. You will be hooked.",2
negative,Speaker is not working well & Notifications not opening from Notification panel.,0
neutral,"Phone is good in this price. Battery is good. I just didn't like the camera. It is not as clear as expected. Rear camera is good. But front camera is very bad. The selfies are not clear at all.
Still I like this product.",1
positive,Good,2
negative,"RT @marymauldin: Hey @FoxNews ! How absolutely fearful are you of @SenTedCruz ? 

I'm LOL at how you refuse to ask him questions!
#GOPDebat…",0
neutral,It's getting to heat very fastly... Touch not working properly,1
neutral,"The food is moderately priced and good, but the drinks are outrageously Scottsdale expensive.  I'll admit that they key lime martini was very delicious.  The Hell's Fire chips and Asian shrimp were perfect, and I would definitely recommend the food.  The lighting, more like a glow than a light, was quite awesome.  Service was pretty slow but professional.  The dj was great!  No one was wearing jeans, but there was a mixed crowd of some people in their 40's and many in their late 20's or early 30's.",1
positive,Amazing Battery performance... After full day use with WhatsApp Facebook and calling 64% battery was left in the evening... No doubt camera is awesome... Processor speed is pretty good and 6gb Ram with 128 GB internal is more than enough for advance users...,2
positive,Osm mobile in loweset  bugat,2
neutral, It`s a date!,1
negative,Don't buy this product as it's charging port is new one..and it's not useful for old OTG ....and the product is not returnable..,0
positive,"It's a better phone of Samsung.i was very excited to purchase it and now I'm too muchh happy with this phone. Battery life is awesome and camera is cool than other camera phone like oppo etc.
  Use it and know the quality of this phone. I sure that you will like it.
  cheap and best. Sure...",2
neutral,Dentist   but the chicks hot so thats a plus,1
neutral,Battery 3000 not sufficient,1
positive,Worth prize,2
neutral, i know...,1
positive,Amazing sandwhich joint. A must go place to eat!,2
neutral,"Picture quality is average,
Sound quality is loud & Clear
Camera is very good as I expected
But battery life is terrible
Phone gives you 8 hours in heavy usage in full charge
It takes 1 hour to full charge the phone
18 hours in daily usage,
Actually Battery Backup is depends on the ram capacity I am using 6GB variant
It gave you a pure android experience & fast update",1
positive,Awesome,2
negative,What the hell stuck in logo no more needed,0
positive,Excellent camera...Super smooth screen. Best features.......good battery life.............best phone in the market 😃😃😃,2
positive,Dual SIM and SD card we cannot able to use at a time either we can use dual SIM or one SIM and SD card.,2
neutral,"_ thatd be likely, bein that i lived on campus ha...i just moved back to the cov",1
positive,Just got up from a nap.. Relaxing for the night,2
negative,Waste of money,0
positive,Very good phone at this price range. Camera quality is very good,2
positive, oooooooh I KNO  EEEEEEEKKKKKKK!  ROCKS!! >,2
negative,One star mobile,0
negative,Even Head phone is not included in package.. Battery quality is not good as mentioned as 6000mAh...,0
positive,"RT @DanScavino: .@realDonaldTrump wins 1st #GOPDebate!
#MakeAmericaGreatAgain #Trump2016 #TeamTrump #TrumpForPresident 🇺🇸 http://t.co/2P8dW…",2
positive,Good,2
positive,"I am reviewing this mobile after 5 days.
1) Camera Quality awesome
2) No lagging observed
3) Build quality is good, looks so premium
4) Both front & back have gorilla glass 5 protection
5) Good budget phone under 13K
6) Looks like resolved battery and heating issues were observed in MI A2
Cons:
1) Hybrid sim slot
2) Display quality can be more better",2
negative,"Product is very poor
Camera is the worst
Display is poor
Hitting issue
Hitting like blasting
So carefully buy at youre own risk",0
positive,"We are very pleased with the fine co-operation between the two countries in recent times , he said .",2
neutral,"Greater phone in this price, but the front camera is worst with 8mp it can not take clear selfi.
Phone is very powder full  no lag sbplaying  PUBG.",1
positive,"@kimguilfoyle Though Cruz was articulate, intelligent. Felt Trump held his own. Rubio solid. We have a lot of great candidates #GOPDebates",2
negative,Hate I am going to miss the tweet up this weekend,0
positive,"After tons of research and comparisons with different cell phones , Finally got this cell phone on Diwali day from Amazon !!

Initial Review :
Camera : 10/10
Audio : 8/10
Battery : 9/10
Fingerprint : 10/10
Design : 10/10",2
positive,"Battry life little low...
Otherwise  it's ultimate...",2
positive,"Pros
Very good camera
Good battery backup
Good performance
Lag free
Fast fingerprint scanner and face recognition
No cons till date",2
positive,Good product but camera can be made better,2
positive,Ultimate phone,2
positive,This Price Best mobile phone and future.,2
